D,p,dKthr,A
1.6308485e-09,1.1791224,7.5796127,71.72782
2.549882e-09,1.1788836,6.475283,71.19816
1.5445292e-09,1.2499135,6.9428716,78.592926
1.9286703e-09,1.2283927,6.8474207,79.12754
1.8607742e-09,1.1200308,7.5160093,76.834465
1.8955397e-09,1.1930586,7.0854063,75.82468
2.487537e-09,1.2793136,5.83362,74.18907
3.442936e-09,1.1596549,7.687258,78.446144
1.9350732e-09,1.2339026,7.3736963,77.72275
1.2301068e-09,1.2500464,7.7746906,76.20334
1.1404994e-09,1.2459733,8.149105,72.183266
2.0696427e-09,1.2505611,6.168718,77.557465
3.1167569e-09,1.2360173,7.006658,73.69216
1.4469502e-09,1.1997718,7.000002,74.71625
1.2693381e-09,1.1892136,7.836623,78.4281
1.2965721e-09,1.226705,6.4586983,74.31585
1.7370511e-09,1.1810621,7.119113,76.16738
3.467338e-09,1.1572784,6.93956,76.334145
7.691137e-10,1.2586457,7.8182263,75.489456
2.190001e-09,1.2583652,7.9750285,73.27795
1.2620576e-09,1.2024647,7.4090085,76.2653
1.8991195e-09,1.1595912,6.450105,74.77506
1.7450726e-09,1.1877589,8.111826,75.02915
1.7500704e-09,1.3027189,7.2031155,74.45275
1.2234913e-09,1.2215989,8.074877,73.62606
2.0354813e-09,1.2679574,7.186123,72.819954
2.175718e-09,1.2423512,7.797823,79.41696
2.4197597e-09,1.1524134,7.7963605,74.844986
3.1996037e-09,1.2414113,7.332993,73.88962
2.7240106e-09,1.1891648,6.9425454,71.43468
3.1333687e-09,1.2259749,7.8322654,72.23447
4.9774633e-09,1.1497608,6.7628546,75.989105
2.0782203e-09,1.2020043,8.688231,72.93872
9.1033914e-10,1.1816483,6.6830516,70.982254
2.5028024e-09,1.2993149,6.8070545,73.29068
2.851724e-09,1.1489099,6.235074,71.79998
1.4900536e-09,1.1899791,7.931753,74.367584
4.5091353e-09,1.2160472,7.329772,70.27346
2.510078e-09,1.2004017,7.463404,73.80622
1.8102727e-09,1.1451385,7.2098894,74.61208
1.4606145e-09,1.225786,6.977772,73.34183
1.1061785e-09,1.203569,6.8427796,74.8098
1.7626793e-09,1.1411169,7.726425,75.57266
5.259628e-09,1.2490225,6.7431273,75.77391
1.6893245e-09,1.107441,6.9520445,74.1988
1.5783717e-09,1.2153174,7.7519994,73.26145
2.0607127e-09,1.2229974,7.6953115,73.76321
1.9680477e-09,1.1193334,7.046738,73.56162
3.0160612e-09,1.3259898,6.6509957,74.91825
1.246363e-09,1.1359143,7.4645977,74.02396
1.5094306e-09,1.1969306,7.7253127,73.402115
3.3706336e-09,1.1987507,6.8759933,74.66263
